,人均可支配收入
区域,中国
次国家,
频率,"年, 年终12月"
单位,人民币
数据来源,国家统计局
状态,继续
数列ID,365357637 (CHAZWB)
SR码,SR87338307
贸易代码,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2023
最后更新时间,29/10/2024
数列备注,
建议,
平均 MEAN,9351.308295972498
方差,135557461.43819094
标准差,11642.914645319313
偏度,1.2730919381040051
峰度,0.36772510174339734
变异系数,1.2450572985957253
最小,49.7
最大,39217.9747
中位数,3602.9675188
总和 SUM,448862.79820668
减 SUBTRACT,-39168.2747
参照期间,48
1949,49.7
1956,98
1978,171.171536
1979,206.6
1980,246.837753
1981,279.3
1982,326.1
1983,364.9
1984,423.6
1985,478.56965
1986,540.8
1987,599.2
1988,708.9
1989,804
1990,903.899349
1991,975.8
1992,1125.2
1993,1385.1
1994,1869.6
1995,2363.347504
1996,2813.9
1997,3069.8
1998,3254.1
1999,3484.6
2000,3721.3350376
2001,4070.3766211
2002,4531.6458745
2003,5006.6946099
2004,5660.9038718
2005,6384.7253749
2006,7228.8202529
2007,8583.5353003
2008,9956.5132369
2009,10977.497691
2010,12519.50513684
2011,14550.74878159
2012,16509.54752844
2013,18310.757
2014,20167.12364872
2015,21966.18524687
2016,23820.975412
2017,25973.78748738
2018,28228.04859973
2019,30732.84755784
2020,32188.83989239
2021,35128.1
2022,36883.28355198
2023,39217.9747