,财政收入:一般公共预算收入:税收:房产税
区域,中国
次国家,
频率,"年, 年终12月"
单位,十亿人民币
数据来源,财政部
状态,继续
数列ID,136478201 (CFAEGO)
SR码,SR1725097
贸易代码,
助记符,
函数说明,AGGREGATE(Yearly; December; Sum; 否)
首次观测日期,2007
最后观测日期,2023
最后更新时间,16/12/2024
数列备注,
建议,
平均 MEAN,190.147
方差,8382.959114375002
标准差,91.5585010491926
偏度,-0.015388239915682271
峰度,-1.340010915856071
变异系数,0.4815143076103888
最小,57.546
最大,343.59999999999997
中位数,205.08999999999997
总和 SUM,
减 SUBTRACT,
参照期间,17
2007,57.546
2008,68.034
2009,80.366
2010,89.406
2011,95.653
2012,137.248
2013,147.641
2014,172.215
2015,205.09
2016,222.1
2017,260.4
2018,288.9
2019,248
2020,231.9
2021,282.8
2022,301.6
2023,343.6